267782:	[2, 5, 6]
315248:	[1, 2, 3, 4, 6, 7, 8, 10]
263537:	[]
229237:	[4]
317811:	[2, 5, 7]
202100:	[1]
369023:	[1]
418684:	[1]
255352:	[1]
257918:	[1, 2]
221053:	[2]
440697:	[1, 3, 4]
426374:	[1, 4, 5, 6, 8]
274821:	[5]
319878:	[1, 2, 4, 5, 7]
257926:	[1]
246155:	[8]
479629:	[1]
197007:	[2, 4, 7]
266120:	[1]
197005:	[1, 4, 5]
266122:	[2, 6, 7, 10]
321428:	[7]
411543:	[]
174480:	[9]
321427:	[1]
266140:	[2]
172952:	[2]
327582:	[4]
254872:	[2, 4]
273823:	[5]
275359:	[]
349082:	[2, 4]
194977:	[3]
384431:	[]
287663:	[1]
225199:	[1, 10]
426423:	[1]
303030:	[1]
165815:	[10]
324531:	[4, 8]
420785:	[1, 3, 7]
321468:	[1]
313276:	[1, 3]
272317:	[1]
321469:	[]
264126:	[]
273343:	[2]
251331:	[2, 3]
167363:	[1, 8]
420290:	[]
337345:	[]
251333:	[1]
260555:	[1, 4]
361933:	[1]
223178:	[]
273357:	[1, 2, 3, 4]
328142:	[6, 9, 10]
256975:	[]
257999:	[2, 3]
433111:	[3, 4]
473558:	[4]
408030:	[1]
331740:	[7]
256985:	[1]
230369:	[1, 3]
223207:	[1, 6, 7]
408034:	[1, 2, 4, 5, 7]
266723:	[3]
431585:	[1]
329197:	[1, 8]
336365:	[1]
317931:	[1]
327147:	[2, 3]
471541:	[]
329200:	[1, 2, 4]
198132:	[]
342002:	[2]
270332:	[1]
419327:	[1]
221177:	[1, 3]
315897:	[1, 3, 4]
268281:	[1]
264698:	[2, 6]
